group1,group2,meandiff,p-adj,lower,upper,reject,p_adj_holm,p_adj_bonf,still_sig_holm,still_sig_bonf
CLaMP-1,CLaMP-2,0.0559,1.0,-245.8714,245.9831,False,1.0,1.0,False,False
CLaMP-1,MERT,1038.1023,0.0,792.175,1284.0295,True,0.0,0.0,True,True
CLaMP-1,MusicBERT,5.9155,1.0,-240.0118,251.8427,False,1.0,1.0,False,False
CLaMP-1,MusicBERT-large,227.4272,0.0867,-18.5,473.3545,False,0.867,1.0,False,False
CLaMP-1,NLP-Baseline,0.1191,1.0,-245.8081,246.0464,False,1.0,1.0,False,False
CLaMP-2,MERT,1038.0464,0.0,792.1192,1283.9737,True,0.0,0.0,True,True
CLaMP-2,MusicBERT,5.8596,1.0,-240.0676,251.7868,False,1.0,1.0,False,False
CLaMP-2,MusicBERT-large,227.3714,0.0868,-18.5559,473.2986,False,0.867,1.0,False,False
CLaMP-2,NLP-Baseline,0.0633,1.0,-245.864,245.9905,False,1.0,1.0,False,False
MERT,MusicBERT,-1032.1868,0.0,-1278.1141,-786.2596,True,0.0,0.0,True,True
MERT,MusicBERT-large,-810.675,0.0,-1056.6023,-564.7478,True,0.0,0.0,True,True
MERT,NLP-Baseline,-1037.9831,0.0,-1283.9104,-792.0559,True,0.0,0.0,True,True
MusicBERT,MusicBERT-large,221.5118,0.1023,-24.4155,467.439,False,0.867,1.0,False,False
MusicBERT,NLP-Baseline,-5.7963,1.0,-251.7236,240.1309,False,1.0,1.0,False,False
MusicBERT-large,NLP-Baseline,-227.3081,0.087,-473.2353,18.6191,False,0.867,1.0,False,False
