pair,factor,F,p,eta_sq
electronic_vs_country,tokenizer,10.107383158196807,2.239865179771571e-06,0.0875547507446247
electronic_vs_country,model,194.8336966370669,7.21096895677576e-35,0.3799159413952295
electronic_vs_country,preprocess,1.19106282042422,0.3132224016435981,0.011181127173019023
jazz_vs_country,tokenizer,30.650902753385683,2.03290335837965e-17,0.22540041136708808
jazz_vs_country,model,4.016999316495916,0.045891448697733525,0.01247449459196958
jazz_vs_country,preprocess,2.3219605263642986,0.07511835742571978,0.021568475112709314
jazz_vs_electronic,tokenizer,28.774904907410527,1.7821571659272954e-16,0.2145647820363978
jazz_vs_electronic,model,69.31919500046949,2.517167183020668e-15,0.17897175222721773
jazz_vs_electronic,preprocess,2.5413475564411065,0.0564032111578589,0.02355833208941618
rock_vs_country,tokenizer,10.663781743492672,1.0720189419879554e-06,0.09193143929855453
rock_vs_country,model,37.83524495714537,2.3101715159002677e-09,0.10632798603663332
rock_vs_country,preprocess,7.943998719322067,4.014766190711193e-05,0.07012875899680804
rock_vs_electronic,tokenizer,23.654215638710454,7.749999083606317e-14,0.1833837128251593
rock_vs_electronic,model,19.61435047363132,1.3048134455385366e-05,0.05809690982067204
rock_vs_electronic,preprocess,1.3898954582026184,0.24582243377636587,0.013023364022442795
rock_vs_jazz,tokenizer,28.76733316352766,1.7979462121340153e-16,0.2145204339025492
rock_vs_jazz,model,5.928580514214985,0.015446795191226173,0.018302122353031542
rock_vs_jazz,preprocess,5.364780866310795,0.0012925672388254066,0.04846316403037732
