,coefficient,std_err,z,p
C(model)[T.CLaMP-2],0.07368863219826138,0.10561643045109094,0.6977004608424563,0.4853645399061448
C(model)[T.CLaMP-2]:C(preprocess)[T.False_True],-0.00014520530823744469,0.11290871347485737,-0.0012860416505390362,0.9989738875053339
C(model)[T.CLaMP-2]:C(preprocess)[T.True_False],-0.019472749690371802,0.11290871347485759,-0.17246454317901672,0.8630723341022686
C(model)[T.CLaMP-2]:C(preprocess)[T.True_True],-0.01999568702399596,0.11290871347485713,-0.17709604873364057,0.859432945526054
C(model)[T.MERT],6.890611313135041,0.12266961396160377,56.17211215233659,0.0
C(model)[T.MERT]:C(preprocess)[T.False_True],0.013268236397099453,0.1314282305655926,0.10095423441372135,0.9195867901419625
C(model)[T.MERT]:C(preprocess)[T.True_False],0.15109630889050998,0.1315757938788482,1.14835946974894,0.25082019811013423
C(model)[T.MERT]:C(preprocess)[T.True_True],0.14107326933186903,0.1323909548989645,1.0655808732517305,0.28661314917813474
C(model)[T.MusicBERT-large],16.34542305151801,0.10561643045109106,154.7621234850127,0.0
C(model)[T.MusicBERT-large]:C(preprocess)[T.False_True],0.041374404281709416,0.11290871347485734,0.3664411984547386,0.7140358824213207
C(model)[T.MusicBERT-large]:C(preprocess)[T.True_False],-1.410069368134588,0.11290871347485756,-12.48857882388839,8.617929823370481e-36
C(model)[T.MusicBERT-large]:C(preprocess)[T.True_True],-1.4037674598977705,0.11290871347485709,-12.432764635214504,1.73527412632889e-35
C(model)[T.MusicBERT],8.454473008221632,0.10561643045109108,80.04884251543356,0.0
C(model)[T.MusicBERT]:C(preprocess)[T.False_True],0.0189923318623743,0.11290871347485738,0.16820962065610226,0.8664183725981204
C(model)[T.MusicBERT]:C(preprocess)[T.True_False],-0.7848788981846723,0.11290871347485758,-6.951446651275931,3.6155914075695717e-12
C(model)[T.MusicBERT]:C(preprocess)[T.True_True],-0.7296241325869406,0.11290871347485709,-6.46207108496915,1.0327955864059335e-10
C(model)[T.NLP-Baseline],0.1983600021403189,0.1056164304510911,1.8781168923539366,0.060365175937414334
C(model)[T.NLP-Baseline]:C(preprocess)[T.False_True],0.0015786322221036664,0.11290871347485738,0.013981491538783654,0.9888447472074435
C(model)[T.NLP-Baseline]:C(preprocess)[T.True_False],-0.017809458396675654,0.1129087134748576,-0.15773325059311252,0.8746669982776437
C(model)[T.NLP-Baseline]:C(preprocess)[T.True_True],-0.016452549828682883,0.11290871347485713,-0.14571550168576305,0.8841459834160508
C(preprocess)[T.False_True],-0.01862278388774664,0.09890639222288883,-0.18828695971216483,0.8506517071786249
C(preprocess)[T.True_False],-0.01783757978022801,0.09899353847873191,-0.18018933411558263,0.8570039315294904
C(preprocess)[T.True_True],-0.0334475562788169,0.09904263826973538,-0.33770865622263546,0.735582750908786
C(tokenizer)[T.Octuple],-0.15225360859122877,0.0989915418155288,-1.5380466431662827,0.12403721063435096
C(tokenizer)[T.Octuple]:C(model)[T.CLaMP-2],-0.07043631041523109,0.11290871347486169,-0.623834142179941,0.5327365148322927
C(tokenizer)[T.Octuple]:C(model)[T.MERT],-0.0019444314055625303,0.13266880174350384,-0.014656282260857457,0.9883063973106498
C(tokenizer)[T.Octuple]:C(model)[T.MusicBERT-large],0.5985643699832759,0.1129087134748621,5.301312463510974,1.1497311361551557e-07
C(tokenizer)[T.Octuple]:C(model)[T.MusicBERT],0.4235582495250365,0.11290871347486232,3.751333590558857,0.0001758964817629557
C(tokenizer)[T.Octuple]:C(model)[T.NLP-Baseline],0.04955022207350401,0.11290871347486182,0.43885206507588054,0.6607687317015593
C(tokenizer)[T.Octuple]:C(preprocess)[T.False_True],0.02005149437224579,0.0955062388512886,0.20994957621007027,0.8337070281923769
C(tokenizer)[T.Octuple]:C(preprocess)[T.True_False],0.2900843302122682,0.09564527564137355,3.032918544769038,0.0024220096672378046
C(tokenizer)[T.Octuple]:C(preprocess)[T.True_True],0.3178268171816434,0.0957592363781883,3.319019963008361,0.0009033397124009673
C(tokenizer)[T.REMI],0.0061716872765945185,0.09895308296695456,0.06236983317291445,0.9502683178146248
C(tokenizer)[T.REMI]:C(model)[T.CLaMP-2],0.03398833871880829,0.11290871347486181,0.3010249401732446,0.7633954765539621
C(tokenizer)[T.REMI]:C(model)[T.MERT],-0.03561202079929269,0.1323734474402414,-0.2690269195819604,0.7879089672433943
C(tokenizer)[T.REMI]:C(model)[T.MusicBERT-large],0.08132905218454536,0.11290871347486213,0.72030802301766,0.47133536604148984
C(tokenizer)[T.REMI]:C(model)[T.MusicBERT],-1.508737246381108,0.11290871347486232,-13.362451842275298,1.0020820595165885e-40
C(tokenizer)[T.REMI]:C(model)[T.NLP-Baseline],-0.15489677881600433,0.11290871347486194,-1.3718762179545216,0.17010197500824153
C(tokenizer)[T.REMI]:C(preprocess)[T.False_True],0.023632552481730126,0.09547491212751281,0.24752630775053608,0.804500934171894
C(tokenizer)[T.REMI]:C(preprocess)[T.True_False],-0.002432257348129944,0.09553766774191044,-0.025458621773147616,0.9796891528218135
C(tokenizer)[T.REMI]:C(preprocess)[T.True_True],0.027576223754621477,0.09568885499561305,0.28818636983257595,0.7732040817094022
C(tokenizer)[T.TSD],0.12445733472481593,0.09894115282992826,1.257892506455306,0.2084306341130039
C(tokenizer)[T.TSD]:C(model)[T.CLaMP-2],0.006105090564699332,0.112908713474862,0.05407103116145743,0.9568785722561952
C(tokenizer)[T.TSD]:C(model)[T.MERT],-0.05009414989842133,0.131583633980912,-0.38070197928785104,0.7034244000166738
C(tokenizer)[T.TSD]:C(model)[T.MusicBERT-large],0.17636039814764934,0.11290871347486243,1.5619733209245497,0.11829427399232129
C(tokenizer)[T.TSD]:C(model)[T.MusicBERT],-1.7440852722975118,0.11290871347486262,-15.446861616094894,7.920726542861334e-54
C(tokenizer)[T.TSD]:C(model)[T.NLP-Baseline],-0.10657013986388125,0.11290871347486214,-0.9438610766529361,0.3452406446311057
C(tokenizer)[T.TSD]:C(preprocess)[T.False_True],0.03172087746515299,0.09535746040535474,0.33265228887504766,0.7393967681860985
C(tokenizer)[T.TSD]:C(preprocess)[T.True_False],-0.21797891508134654,0.09553788597639262,-2.2815965923215953,0.02251316809472987
C(tokenizer)[T.TSD]:C(preprocess)[T.True_True],-0.2125929557622241,0.09561765337733948,-2.22336512404525,0.02619118941669203
Group Var,,,1.5859646725795484,0.11274732362371932
Intercept,0.03142273968015179,0.2880001874139627,0.10910666400013726,0.9131178893397576
