,coefficient,std_err,z,p
C(model)[T.CLaMP-2],0.05619950140972612,0.04511523580262994,1.2456878571041412,0.21287901333516768
C(model)[T.MERT],6.941189896391174,0.05387167347023874,128.84674726553308,0.0
C(model)[T.MusicBERT-large],15.86637090065929,0.04511523580262994,351.68542551947337,0.0
C(model)[T.MusicBERT],7.373279266205981,0.04511523580262994,163.43213406802508,0.0
C(model)[T.NLP-Baseline],0.13720998398795703,0.04511523580262994,3.041322549841545,0.0023554135747026147
C(preprocess)[T.False_True],0.013119859233451697,0.038179700608846685,0.3436344189250052,0.7311212367287339
C(preprocess)[T.True_False],-0.3848168547436064,0.038187248920547374,-10.077103368830226,6.975212061796239e-24
C(preprocess)[T.True_True],-0.375442030406437,0.0382242969082088,-9.822078122405165,9.04592138389627e-23
C(tokenizer)[T.Octuple],0.1870314955016774,0.038237265974356345,4.891340704827307,1.001514299729969e-06
C(tokenizer)[T.REMI],-0.2611655754835034,0.03822311538071966,-6.832660626486752,8.335398996290893e-12
C(tokenizer)[T.TSD],-0.2772282013168055,0.038186541391353614,-7.2598405410859455,3.875469177636734e-13
Group Var,,,1.5722575177866653,0.11589084100655249
Intercept,0.30053295029595317,0.2804468991679857,1.071621583934633,0.2838900347435479
