,coefficient,std_err,z,p
C(model)[T.CLaMP-2],0.027871404156846285,0.0010439199473423566,26.698794507952606,4.860968813356518e-157
C(model)[T.CLaMP-2]:C(preprocess)[T.False_True],-4.827007891809346e-05,0.0011159973663353493,-0.04325286096023693,0.9654999675320356
C(model)[T.CLaMP-2]:C(preprocess)[T.True_False],-0.011790497712953978,0.0011159973663353497,-10.564987040848457,4.3302848296898846e-26
C(model)[T.CLaMP-2]:C(preprocess)[T.True_True],-0.01197326916183171,0.0011159973663353486,-10.728761127052547,7.458944017212836e-27
C(model)[T.MERT],0.01999614417144128,0.001043919947342356,19.15486357200865,8.815603166772652e-82
C(model)[T.MERT]:C(preprocess)[T.False_True],-0.0009483133695883373,0.0011159973663353473,-0.849745168039561,0.39546678045629846
C(model)[T.MERT]:C(preprocess)[T.True_False],-0.0003482357415845258,0.0011159973663353484,-0.3120399313557911,0.7550101764967408
C(model)[T.MERT]:C(preprocess)[T.True_True],-0.0013982273785466076,0.0011159973663353465,-1.2528948729852591,0.21024396801011014
C(model)[T.MusicBERT-large],0.0005226982681398364,0.0010439199473423566,0.5007072328395847,0.6165771812092815
C(model)[T.MusicBERT-large]:C(preprocess)[T.False_True],-5.279059666005045e-05,0.001115997366335347,-0.0473035136573856,0.9622713277258695
C(model)[T.MusicBERT-large]:C(preprocess)[T.True_False],-0.00022295618134984214,0.0011159973663353482,-0.19978199597546864,0.8416510825995177
C(model)[T.MusicBERT-large]:C(preprocess)[T.True_True],-0.00027252866750493134,0.0011159973663353467,-0.24420189126417619,0.8070744623847148
C(model)[T.MusicBERT],-0.0007628614948625769,0.001043919947342357,-0.7307662783958605,0.46492192426534884
C(model)[T.MusicBERT]:C(preprocess)[T.False_True],-5.685273245189046e-05,0.0011159973663353473,-0.05094342887078706,0.9593705991825152
C(model)[T.MusicBERT]:C(preprocess)[T.True_False],-0.00012625220506566287,0.0011159973663353486,-0.11312948298457279,0.9099279009888259
C(model)[T.MusicBERT]:C(preprocess)[T.True_True],-0.00015798624708807912,0.0011159973663353465,-0.14156507161559534,0.8874235578227669
C(model)[T.NLP-Baseline],0.004000037670077685,0.0010439199473423555,3.8317475207376845,0.0001272362774136993
C(model)[T.NLP-Baseline]:C(preprocess)[T.False_True],-1.3007477134797913e-06,0.0011159973663353476,-0.0011655472967208847,0.9990700280176221
C(model)[T.NLP-Baseline]:C(preprocess)[T.True_False],-0.0005944667378311342,0.0011159973663353486,-0.5326775454526489,0.5942568124551846
C(model)[T.NLP-Baseline]:C(preprocess)[T.True_True],-0.0005837770277093455,0.001115997366335347,-0.5230989295488409,0.6009054104060223
C(preprocess)[T.False_True],0.0004344907787427683,0.0009664820698029154,0.4495590682105147,0.6530284077073345
C(preprocess)[T.True_False],-7.936052505877231e-05,0.0009664820698029159,-0.08211277533059194,0.9345570341874021
C(preprocess)[T.True_True],-0.0001502040229064064,0.0009664820698029148,-0.15541315002050274,0.8764956179046499
C(tokenizer)[T.Octuple],0.00037138190888606374,0.0009664820698030637,0.3842615610672827,0.7007845948744702
C(tokenizer)[T.Octuple]:C(model)[T.CLaMP-2],-0.023777191853564063,0.0011159973663354436,-21.30577774716466,1.0034720125926786e-100
C(tokenizer)[T.Octuple]:C(model)[T.MERT],-0.0021731229081595506,0.0011159973663354464,-1.947247344584103,0.05150508811942696
C(tokenizer)[T.Octuple]:C(model)[T.MusicBERT-large],-0.001172339072617262,0.0011159973663354486,-1.050485519035605,0.29349494533971243
C(tokenizer)[T.Octuple]:C(model)[T.MusicBERT],-0.001166223628432248,0.0011159973663354501,-1.0450057174074914,0.2960203270671571
C(tokenizer)[T.Octuple]:C(model)[T.NLP-Baseline],0.0019246178779304714,0.0011159973663354443,1.7245720608196968,0.0846046221102247
C(tokenizer)[T.Octuple]:C(preprocess)[T.False_True],-0.00042180215839689275,0.0009112080339371656,-0.4629043453165812,0.6434329327035633
C(tokenizer)[T.Octuple]:C(preprocess)[T.True_False],0.002049674842583698,0.0009112080339371652,2.2494038312276765,0.024486815079577062
C(tokenizer)[T.Octuple]:C(preprocess)[T.True_True],0.0021963994788114657,0.0009112080339371657,2.410425936787694,0.015933906105048957
C(tokenizer)[T.REMI],0.0052766009672763165,0.0009664820698030384,5.4595953014955025,4.772211211281019e-08
C(tokenizer)[T.REMI]:C(model)[T.CLaMP-2],0.02568772044606188,0.0011159973663354356,23.017724970455635,3.0977930087395928e-117
C(tokenizer)[T.REMI]:C(model)[T.MERT],-0.006079675680739766,0.001115997366335438,-5.447750921405296,5.101072383796432e-08
C(tokenizer)[T.REMI]:C(model)[T.MusicBERT-large],-0.005422057405296534,0.00111599736633544,-4.858485843116949,1.1828686478614357e-06
C(tokenizer)[T.REMI]:C(model)[T.MusicBERT],-0.00598830640527909,0.0011159973663354412,-5.3658786175658,8.05561050073455e-08
C(tokenizer)[T.REMI]:C(model)[T.NLP-Baseline],-0.010534059687287515,0.0011159973663354371,-9.439143859163263,3.758376239694093e-21
C(tokenizer)[T.REMI]:C(preprocess)[T.False_True],-0.0007528139793811922,0.0009112080339371599,-0.8261713586176622,0.40870689300303864
C(tokenizer)[T.REMI]:C(preprocess)[T.True_False],0.0006783124874830531,0.0009112080339371593,0.7444101261401217,0.4566283947197809
C(tokenizer)[T.REMI]:C(preprocess)[T.True_True],0.000749005987074375,0.00091120803393716,0.8219922994292092,0.41108127960211527
C(tokenizer)[T.TSD],0.00886243198478471,0.0009664820698030652,9.169784170533614,4.739670392686309e-20
C(tokenizer)[T.TSD]:C(model)[T.CLaMP-2],0.011707817635211738,0.0011159973663354467,10.490900774843405,9.511721702161892e-26
C(tokenizer)[T.TSD]:C(model)[T.MERT],-0.00708396868151916,0.0011159973663354493,-6.347657167669196,2.1861859077812952e-10
C(tokenizer)[T.TSD]:C(model)[T.MusicBERT-large],-0.0073127795813899684,0.0011159973663354514,-6.552685339574413,5.651151313734168e-11
C(tokenizer)[T.TSD]:C(model)[T.MusicBERT],-0.007972453555152376,0.0011159973663354532,-7.143792445793253,9.079045970758069e-13
C(tokenizer)[T.TSD]:C(model)[T.NLP-Baseline],-0.009997866687044497,0.0011159973663354475,-8.958683047679639,3.2857914791965127e-19
