,coefficient,std_err,z,p
C(model)[T.CLaMP-2],0.025322981475347374,0.0005424864339017302,46.67947416346739,0.0
C(model)[T.MERT],0.01548825823140637,0.0005424864339017305,28.550498710188965,2.769189096577141e-179
C(model)[T.MusicBERT-large],-0.003091164608065171,0.0005424864339017303,-5.698141768878087,1.2112031613833846e-08
C(model)[T.MusicBERT],-0.004629880188230269,0.0005424864339017303,-8.534554781270268,1.406961601907805e-17
C(model)[T.NLP-Baseline],-0.0009466755823365709,0.0005424864339017305,-1.7450677531745573,0.08097307593742138
C(preprocess)[T.False_True],-0.00012109203264221715,0.000442938318480438,-0.27338351095394126,0.7845584265411022
C(preprocess)[T.True_False],-0.002328961029367607,0.000442938318480438,-5.257980473121933,1.4564598021453705e-07
C(preprocess)[T.True_True],-0.002495185785340631,0.000442938318480438,-5.633257908010116,1.7683669493252046e-08
C(tokenizer)[T.Octuple],-0.0030665933145049722,0.00044293831848044,-6.9232965100543495,4.4125282285737245e-12
C(tokenizer)[T.REMI],0.005055830635646702,0.0004429383184804384,11.414299519155247,3.5475043231288786e-30
C(tokenizer)[T.TSD],0.003906985028263723,0.00044293831848044,8.820607441837872,1.1384045584189526e-18
Group Var,,,1.5364032610393368,0.12443950746218024
Intercept,0.006968770959119087,0.0010729742255427169,6.494816737647394,8.313454797512845e-11
