,coefficient,std_err,z,p
C(model)[T.CLaMP-2],0.034936707438512266,0.0062232154441807,5.61393185755467,1.9778012685767576e-08
C(model)[T.CLaMP-2]:C(preprocess)[T.False_True],-0.0018834267066718511,0.006652897153201895,-0.28309872575820577,0.7771011583547532
C(model)[T.CLaMP-2]:C(preprocess)[T.True_False],-0.0027236522152240747,0.0066528971532018935,-0.4093934044829237,0.6822509790800189
C(model)[T.CLaMP-2]:C(preprocess)[T.True_True],-0.0036172666567571305,0.006652897153201901,-0.5437129980306723,0.5866389865136812
C(model)[T.MERT],0.0010836913934947278,0.006223215444180698,0.17413689164627635,0.8617578807580558
C(model)[T.MERT]:C(preprocess)[T.False_True],-0.005826145315693048,0.006652897153201899,-0.8757305549040462,0.38117653053559974
C(model)[T.MERT]:C(preprocess)[T.True_False],-0.003213132761695063,0.006652897153201899,-0.4829674482715624,0.6291188493887978
C(model)[T.MERT]:C(preprocess)[T.True_True],-0.009535616766736152,0.006652897153201904,-1.433302897542442,0.1517712942954184
C(model)[T.MusicBERT-large],0.12789283383074426,0.0062232154441807,20.55092499655243,7.5510635956047e-94
C(model)[T.MusicBERT-large]:C(preprocess)[T.False_True],-0.0004246874215442335,0.006652897153201905,-0.06383495968216493,0.9491016412132789
C(model)[T.MusicBERT-large]:C(preprocess)[T.True_False],-0.011471880220662992,0.006652897153201904,-1.7243435388358301,0.08464584376481564
C(model)[T.MusicBERT-large]:C(preprocess)[T.True_True],-0.011534278320335045,0.00665289715320191,-1.7337226256058718,0.08296731002412495
C(model)[T.MusicBERT],0.051173618992218485,0.006223215444180696,8.223019024686142,1.9844334110329713e-16
C(model)[T.MusicBERT]:C(preprocess)[T.False_True],-0.0006069499268250072,0.0066528971532019065,-0.09123091983060258,0.9273091069184606
C(model)[T.MusicBERT]:C(preprocess)[T.True_False],-0.008452461495331135,0.006652897153201907,-1.2704933355633092,0.20390895528028874
C(model)[T.MusicBERT]:C(preprocess)[T.True_True],-0.007897431709431246,0.006652897153201913,-1.1870665557531372,0.23520136896786525
C(model)[T.NLP-Baseline],-0.0004213517137502543,0.006223215444180701,-0.06770643207351246,0.9460193290093806
C(model)[T.NLP-Baseline]:C(preprocess)[T.False_True],6.726684735885895e-05,0.006652897153201897,0.010110910451469229,0.9919327981077074
C(model)[T.NLP-Baseline]:C(preprocess)[T.True_False],-0.02340907380692724,0.006652897153201897,-3.518628541501044,0.0004337836139087877
C(model)[T.NLP-Baseline]:C(preprocess)[T.True_True],-0.02355928433263318,0.006652897153201901,-3.5412067540071,0.00039830133360178275
C(preprocess)[T.False_True],0.0034255746184872916,0.005761577943437922,0.59455493826805,0.5521410088570708
C(preprocess)[T.True_False],0.0011215688343491125,0.005761577943437919,0.19466348374693254,0.8456564007275635
C(preprocess)[T.True_True],0.001241693363769803,0.005761577943437925,0.21551272515266648,0.8293675919158409
