,coefficient,std_err,z,p
C(model)[T.CLaMP-2],0.008873328214630735,0.0024006996129928367,3.696142643839053,0.00021890001341989162
C(model)[T.MERT],-0.01329938269969916,0.0024006996129928362,-5.539794578097783,3.028266543471856e-08
C(model)[T.MusicBERT-large],0.12698506641711563,0.002400699612992836,52.89502515427555,0.0
C(model)[T.MusicBERT],0.0488178410216107,0.002400699612992836,20.334839376573175,6.324629336371029e-92
C(model)[T.NLP-Baseline],-0.019089468340333163,0.0024006996129928362,-7.9516271994292715,1.8407748436238567e-15
C(preprocess)[T.False_True],-0.000258136302031719,0.0019601630258431605,-0.13169124130411658,0.8952285136057546
C(preprocess)[T.True_False],-0.0076577064170727975,0.0019601630258431605,-3.9066681271466432,9.357753942019115e-05
C(preprocess)[T.True_True],-0.008120917896827798,0.0019601630258431605,-4.142980859122471,3.428205677494819e-05
C(tokenizer)[T.Octuple],-0.006415828598999316,0.001960163025843151,-3.273109692618342,0.0010637118771543044
C(tokenizer)[T.REMI],0.004499466215187346,0.0019601630258431475,2.2954551003490837,0.02170705673032253
C(tokenizer)[T.TSD],0.012921349546214683,0.001960163025843151,6.591976981433293,4.340078986097991e-11
Group Var,,,1.5655573677205408,0.11745227718216467
Intercept,0.14399962438795036,0.007747312122560367,18.58704310732749,4.0911923437917245e-77
