,coefficient,std_err,z,p
C(model)[T.CLaMP-2],0.07368863162882408,0.10561642957358452,0.6977004612476899,0.48536453965266624
C(model)[T.CLaMP-2]:C(preprocess)[T.False_True],-0.00014520492415550612,0.1129087125367684,-0.0012860382595206775,0.9989738902109728
C(model)[T.CLaMP-2]:C(preprocess)[T.True_False],-0.019472749199590543,0.11290871253676847,-0.17246454026521013,0.86307233639283
C(model)[T.CLaMP-2]:C(preprocess)[T.True_True],-0.019995686477920827,0.11290871253676872,-0.1770960453685913,0.8594329481691997
C(model)[T.MERT],6.89061129970804,0.12266961294241847,56.172112509579016,0.0
C(model)[T.MERT]:C(preprocess)[T.False_True],0.013268230372598451,0.13142822947363678,0.10095418941377376,0.9195868258642251
C(model)[T.MERT]:C(preprocess)[T.True_False],0.15109631665672787,0.13157579278566614,1.1483595383146215,0.25082016981652355
C(model)[T.MERT]:C(preprocess)[T.True_True],0.14107329843779465,0.13239095379901075,1.0655811019532724,0.2866130457481333
C(model)[T.MusicBERT-large],16.345423053971807,0.10561642957358457,154.76212479407573,0.0
C(model)[T.MusicBERT-large]:C(preprocess)[T.False_True],0.04137438679255553,0.11290871253676843,0.3664410466028657,0.7140359957140081
C(model)[T.MusicBERT-large]:C(preprocess)[T.True_False],-1.4100693747557689,0.11290871253676846,-12.488578986290213,8.617912234104489e-36
C(model)[T.MusicBERT-large]:C(preprocess)[T.True_True],-1.4037674305340855,0.11290871253676875,-12.432764478444906,1.7352775301258958e-35
C(model)[T.MusicBERT],8.454473041764757,0.10561642957358447,80.04884349810752,0.0
C(model)[T.MusicBERT]:C(preprocess)[T.False_True],0.018992336039928906,0.11290871253676832,0.16820965905305243,0.8664183423921548
C(model)[T.MusicBERT]:C(preprocess)[T.True_False],-0.7848788683769535,0.11290871253676833,-6.951446445032844,3.61559669443451e-12
C(model)[T.MusicBERT]:C(preprocess)[T.True_True],-0.7296241439880042,0.11290871253676861,-6.462071239634433,1.032794530514081e-10
C(model)[T.NLP-Baseline],0.19836000199272077,0.10561642957358461,1.8781169065606433,0.060365173994359804
C(model)[T.NLP-Baseline]:C(preprocess)[T.False_True],0.0015786324393731348,0.11290871253676847,0.013981493579240457,0.9888447455795536
C(model)[T.NLP-Baseline]:C(preprocess)[T.True_False],-0.01780945865137936,0.1129087125367685,-0.15773325415945866,0.87466699546729
C(model)[T.NLP-Baseline]:C(preprocess)[T.True_True],-0.016452549429090725,0.11290871253676878,-0.14571549935734981,0.8841459852542367
C(preprocess)[T.False_True],-0.018622757230493718,0.098906391401136,-0.18828669175650287,0.8506519172199315
C(preprocess)[T.True_False],-0.017837550713974634,0.09899353765625508,-0.18018904199498054,0.8570041608547432
C(preprocess)[T.True_True],-0.03344752802109412,0.09904263744685173,-0.33770837371978035,0.7355829638196894
C(tokenizer)[T.Octuple],-0.15225358969978295,0.09899154099306347,-1.5380464651060606,0.12403725416811691
C(tokenizer)[T.Octuple]:C(model)[T.CLaMP-2],-0.07043631023100248,0.11290871253676935,-0.6238341457313537,0.5327365124997252
C(tokenizer)[T.Octuple]:C(model)[T.MERT],-0.001944423795973795,0.13266880064123673,-0.014656225024841448,0.9883064429734787
C(tokenizer)[T.Octuple]:C(model)[T.MusicBERT-large],0.5985643620521798,0.11290871253676915,5.301312437313064,1.1497313011686207e-07
C(tokenizer)[T.Octuple]:C(model)[T.MusicBERT],0.4235581909846319,0.11290871253676912,3.7513331032509885,0.00017589682369399714
