,coefficient,std_err,z,p
C(model)[T.CLaMP-2],0.056199501484505296,0.045115235464848844,1.245687868088213,0.21287900930105774
C(model)[T.MERT],6.941189897803,0.05387167306692668,128.8467482563557,0.0
C(model)[T.MusicBERT-large],15.866370895739855,0.04511523546484883,351.68542804352666,0.0
C(model)[T.MusicBERT],7.373279276725088,0.04511523546484884,163.4321355248144,0.0
C(model)[T.NLP-Baseline],0.1372099838627902,0.04511523546484883,3.0413225698377713,0.0023554134182605015
C(preprocess)[T.False_True],0.013119856397451564,0.038179700322992366,0.3436343472175081,0.7311212906627652
C(preprocess)[T.True_False],-0.38481684969800095,0.03818724863463655,-10.077103312150246,6.97521608432516e-24
C(preprocess)[T.True_True],-0.3754420239963859,0.03822429662202063,-9.822078028248074,9.045929834739377e-23
C(tokenizer)[T.Octuple],0.18703148439529513,0.03823726568807113,4.8913404509894995,1.0015155915513087e-06
C(tokenizer)[T.REMI],-0.26116558651220995,0.03822311509454033,-6.832660966178396,8.335379251573516e-12
C(tokenizer)[T.TSD],-0.2772282024786016,0.03818654110544817,-7.259840625865136,3.8754667486673466e-13
Group Var,,,1.572257517570373,0.11589084105669373
Intercept,0.3005329540028803,0.2804468963772208,1.071621607816413,0.28389002401253416
