variant,tokenizer,model,remove_velocity,hard_quantization,genre_a,genre_b,pair,repeat,subsample_size,fmd,full_fmd,n_a,n_b
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,jazz,rock_vs_jazz,0,100,0.21597272157669067,0.21285480260849,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,jazz,rock_vs_jazz,1,100,0.23570173978805542,0.21285480260849,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,jazz,rock_vs_jazz,2,100,0.25075849890708923,0.21285480260849,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,jazz,rock_vs_jazz,3,100,0.2591344714164734,0.21285480260849,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,jazz,rock_vs_jazz,4,100,0.22354470193386078,0.21285480260849,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,jazz,rock_vs_jazz,5,100,0.24375022947788239,0.21285480260849,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,jazz,rock_vs_jazz,6,100,0.26066529750823975,0.21285480260849,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,jazz,rock_vs_jazz,7,100,0.25646620988845825,0.21285480260849,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,jazz,rock_vs_jazz,8,100,0.2369476556777954,0.21285480260849,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,jazz,rock_vs_jazz,9,100,0.2280936986207962,0.21285480260849,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,electronic,rock_vs_electronic,0,100,0.20223328471183777,0.18589124083518982,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,electronic,rock_vs_electronic,1,100,0.22433337569236755,0.18589124083518982,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,electronic,rock_vs_electronic,2,100,0.19919979572296143,0.18589124083518982,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,electronic,rock_vs_electronic,3,100,0.2068949043750763,0.18589124083518982,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,electronic,rock_vs_electronic,4,100,0.22895781695842743,0.18589124083518982,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,electronic,rock_vs_electronic,5,100,0.2022552788257599,0.18589124083518982,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,electronic,rock_vs_electronic,6,100,0.24425239861011505,0.18589124083518982,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,electronic,rock_vs_electronic,7,100,0.21311111748218536,0.18589124083518982,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,electronic,rock_vs_electronic,8,100,0.22677460312843323,0.18589124083518982,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,electronic,rock_vs_electronic,9,100,0.2128809690475464,0.18589124083518982,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,country,rock_vs_country,0,100,0.29923802614212036,0.26989609003067017,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,country,rock_vs_country,1,100,0.2779800295829773,0.26989609003067017,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,country,rock_vs_country,2,100,0.31963369250297546,0.26989609003067017,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,country,rock_vs_country,3,100,0.29732653498649597,0.26989609003067017,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,country,rock_vs_country,4,100,0.2874133884906769,0.26989609003067017,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,country,rock_vs_country,5,100,0.31253689527511597,0.26989609003067017,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,country,rock_vs_country,6,100,0.2830256223678589,0.26989609003067017,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,country,rock_vs_country,7,100,0.32082170248031616,0.26989609003067017,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,country,rock_vs_country,8,100,0.3061809539794922,0.26989609003067017,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,rock,country,rock_vs_country,9,100,0.2933838367462158,0.26989609003067017,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,electronic,jazz_vs_electronic,0,100,0.3248644471168518,0.2747374176979065,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,electronic,jazz_vs_electronic,1,100,0.2910838723182678,0.2747374176979065,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,electronic,jazz_vs_electronic,2,100,0.31645500659942627,0.2747374176979065,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,electronic,jazz_vs_electronic,3,100,0.30842941999435425,0.2747374176979065,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,electronic,jazz_vs_electronic,4,100,0.27845776081085205,0.2747374176979065,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,electronic,jazz_vs_electronic,5,100,0.32816314697265625,0.2747374176979065,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,electronic,jazz_vs_electronic,6,100,0.3113057613372803,0.2747374176979065,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,electronic,jazz_vs_electronic,7,100,0.2956016957759857,0.2747374176979065,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,electronic,jazz_vs_electronic,8,100,0.29592621326446533,0.2747374176979065,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,electronic,jazz_vs_electronic,9,100,0.33010149002075195,0.2747374176979065,119,118
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,country,jazz_vs_country,0,100,0.19573529064655304,0.18776285648345947,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,country,jazz_vs_country,1,100,0.19157421588897705,0.18776285648345947,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,country,jazz_vs_country,2,100,0.235205739736557,0.18776285648345947,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,country,jazz_vs_country,3,100,0.2196396142244339,0.18776285648345947,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,country,jazz_vs_country,4,100,0.22944167256355286,0.18776285648345947,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,country,jazz_vs_country,5,100,0.2064359039068222,0.18776285648345947,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,country,jazz_vs_country,6,100,0.20125249028205872,0.18776285648345947,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,country,jazz_vs_country,7,100,0.22780504822731018,0.18776285648345947,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,country,jazz_vs_country,8,100,0.2119784951210022,0.18776285648345947,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,jazz,country,jazz_vs_country,9,100,0.20506377518177032,0.18776285648345947,119,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,electronic,country,electronic_vs_country,0,100,0.4047020673751831,0.3482760488986969,118,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,electronic,country,electronic_vs_country,1,100,0.415789395570755,0.3482760488986969,118,119
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,electronic,country,electronic_vs_country,2,100,0.40080535411834717,0.3482760488986969,118,119
