n_per_cell,total_rows,resample,factor,eta_sq,p_value,significant
2,576,0,tokenizer,0.0205918217587666,0.00769126617546108,True
2,576,0,model,0.7839890684102291,2.124695094862259e-191,True
2,576,0,preprocess,0.002432545942474834,0.7068648185471633,False
2,576,1,tokenizer,0.01936495629968576,0.010716026773669285,True
2,576,1,model,0.7713059287145232,2.670118719394054e-184,True
2,576,1,preprocess,0.003110076268211509,0.6185775913663889,False
2,576,2,tokenizer,0.019509906451308973,0.010305254966182125,True
2,576,2,model,0.7753120388467369,1.6889378904430107e-186,True
2,576,2,preprocess,0.002185224078528477,0.7404639007568842,False
2,576,3,tokenizer,0.019374746316104034,0.01068778361283095,True
2,576,3,model,0.7776136466532915,8.840569097435614e-188,True
2,576,3,preprocess,0.0019569553329574114,0.7718977539825459,False
2,576,4,tokenizer,0.020269801447936,0.008392297664132862,True
2,576,4,model,0.7756455991530191,1.1034708527918553e-186,True
2,576,4,preprocess,0.002823436019885429,0.6551567431442367,False
2,576,5,tokenizer,0.019352139195538645,0.010753113613948172,True
2,576,5,model,0.780347643792471,2.5546163888161026e-189,True
2,576,5,preprocess,0.0030275547335107205,0.6289815229622562,False
2,576,6,tokenizer,0.01904158759799581,0.011691252520182676,True
2,576,6,model,0.7775313285570282,9.829439440997126e-188,True
2,576,6,preprocess,0.002062872258560153,0.7572733967083065,False
2,576,7,tokenizer,0.01923894268247227,0.011086174028135647,True
2,576,7,model,0.7885137272387124,4.9356630547711383e-194,True
2,576,7,preprocess,0.0026047837060212808,0.6838445828886622,False
2,576,8,tokenizer,0.02023304816991055,0.008476199413999923,True
2,576,8,model,0.7756189309653684,1.1416946765937137e-186,True
2,576,8,preprocess,0.0016459851071726022,0.8150157503677102,False
2,576,9,tokenizer,0.02048020228598617,0.007927477859689877,True
2,576,9,model,0.7902939837676322,4.380462885025774e-195,True
2,576,9,preprocess,0.0024773865632703104,0.700838805416625,False
2,576,10,tokenizer,0.019316950598297782,0.010855582811152566,True
2,576,10,model,0.7839496670887486,2.23867096819407e-191,True
2,576,10,preprocess,0.00165780235342624,0.8133772394921359,False
2,576,11,tokenizer,0.01834618730131959,0.014093038734781953,True
2,576,11,model,0.776832421838202,2.414405863701879e-187,True
2,576,11,preprocess,0.002022490889068715,0.7628421948118905,False
2,576,12,tokenizer,0.01910452226574966,0.011494858987195012,True
2,576,12,model,0.7820869842206207,2.6189579205343444e-190,True
2,576,12,preprocess,0.0022981059467560836,0.7250579257357166,False
2,576,13,tokenizer,0.018538335475024006,0.013384801104850437,True
2,576,13,model,0.7740507815157286,8.396661982834706e-186,True
2,576,13,preprocess,0.0022018687812112533,0.7381855542809653,False
2,576,14,tokenizer,0.020157925921878816,0.008650265761360175,True
2,576,14,model,0.7754126014035424,1.4856370555940802e-186,True
2,576,14,preprocess,0.0020910739169837035,0.753389936385288,False
2,576,15,tokenizer,0.019794621019813163,0.009542943242273224,True
2,576,15,model,0.790600799198359,2.8796730008684184e-195,True
2,576,15,preprocess,0.002653982115593891,0.6773347412493604,False
2,576,16,tokenizer,0.01986372689487184,0.009366440630036405,True
2,576,16,model,0.776824564106307,2.4388844129849243e-187,True
2,576,16,preprocess,0.0019412709918910464,0.7740678167800015,False
2,576,17,tokenizer,0.018714592606234887,0.012765915366539768,True
2,576,17,model,0.7801244076370315,3.4175662644898886e-189,True
2,576,17,preprocess,0.002609931250511596,0.6831620416118417,False
2,576,18,tokenizer,0.018672950078389355,0.012909549900239984,True
2,576,18,model,0.7677009070865588,2.3583743883675955e-182,True
2,576,18,preprocess,0.002813943945346346,0.6563886692333318,False
2,576,19,tokenizer,0.019204810738251154,0.011188574684587876,True
2,576,19,model,0.7653167327516356,4.396722390429847e-181,True
2,576,19,preprocess,0.001944614318839534,0.7736051565910071,False
2,576,20,tokenizer,0.019618467054207937,0.010007778097263316,True
2,576,20,model,0.7837671875294264,2.8512648729841924e-191,True
2,576,20,preprocess,0.003440003259923236,0.5780723027249728,False
2,576,21,tokenizer,0.019210185635209147,0.011172387828322522,True
2,576,21,model,0.7741332541879095,7.5627972107796e-186,True
2,576,21,preprocess,0.001810474909376693,0.7921947004361082,False
2,576,22,tokenizer,0.019805892203284776,0.009513934122426683,True
2,576,22,model,0.7891533094032596,2.0724544551151173e-194,True
2,576,22,preprocess,0.0019818548669151867,0.7684548188036696,False
2,576,23,tokenizer,0.020713671008061988,0.007441308966825067,True
2,576,23,model,0.7771525823779839,1.6002176740708163e-187,True
2,576,23,preprocess,0.0023685852520721447,0.7154976284647219,False
2,576,24,tokenizer,0.018851344271669183,0.012305173363880845,True
2,576,24,model,0.7874479298786738,2.0836254089221786e-193,True
2,576,24,preprocess,0.0019924698687496874,0.7669879009729758,False
2,576,25,tokenizer,0.01956830119655589,0.01014417844003399,True
