n_per_cell,factor,eta_sq_mean,eta_sq_std,eta_sq_ci_lo,eta_sq_ci_hi,power,n_resamples
2,model,0.7800090429074285,0.006891820316948424,0.7670452591444549,0.7906798983561585,1.0,30
2,preprocess,0.0023067548198365665,0.00044402345015651475,0.0016545526107064896,0.003200806190932233,0.0,30
2,tokenizer,0.01951541277882518,0.0006197369145535779,0.018485494727255292,0.020625330302322834,1.0,30
3,model,0.7788988420335888,0.005075168490952218,0.7702585711558027,0.7867263517051558,1.0,30
3,preprocess,0.0022699715311284034,0.0003227235536123953,0.0018695187485718314,0.002998287999730041,0.0,30
3,tokenizer,0.019575524002988128,0.00042366922586608446,0.018955439922267513,0.020444988261893813,1.0,30
5,model,0.7789125590356427,0.0022583842144416853,0.7754112161455337,0.7834992621935885,1.0,30
5,preprocess,0.0022073008409043897,0.00019369523485397117,0.0018395268692773384,0.002526443300468836,0.0,30
5,tokenizer,0.019588120074201496,0.00029366737060222464,0.018970333946022593,0.020112310000125633,1.0,30
7,model,0.7778152661173944,0.0020986206841580868,0.7744289594905037,0.7814828991594148,1.0,30
7,preprocess,0.002269609319699216,0.00014581165958778744,0.002040978934466131,0.0025367255698260367,0.0,30
7,tokenizer,0.019571859777815566,0.00013660324762208203,0.01936224807991587,0.019826319242656067,1.0,30
10,model,0.7782351960021825,8.986447290752814e-17,0.7782351960021824,0.7782351960021826,1.0,30
10,preprocess,0.0022137638623579686,1.394864087304094e-19,0.002213763862357968,0.0022137638623579686,0.0,30
10,tokenizer,0.01957761464668479,2.8082647783602542e-18,0.019577614646684786,0.019577614646684793,1.0,30
