variant,tokenizer,model,remove_velocity,hard_quantization,dataset_a,dataset_b,fmd,valid,real_pair,source_a,source_b,real_files_a,real_files_b,bootstrap_mean,bootstrap_std,bootstrap_ci_lower,bootstrap_ci_upper
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,maestro,midicaps,0.07954200080506989,True,True,real,real,120,120,0.134294943529369,0.010912374575827642,0.11440699722590442,0.15896528043591548
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,maestro,pop909,0.06097080340278214,True,True,real,real,120,120,0.12454733162414577,0.009915145987492492,0.10964648315019243,0.14454742477074428
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,maestro,jazz,0.07288751737414294,True,True,real,real,120,120,0.13145013967990993,0.007723833291025945,0.11893992516923306,0.14798586344997622
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,maestro,rock,0.0870409038400895,True,True,real,real,120,120,0.13604698925449182,0.007636751478564321,0.12317221184791999,0.1521486076457574
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,maestro,classical,0.050074113817882474,True,True,real,real,120,120,0.1176503151818209,0.011146839170567928,0.10291528708355378,0.14654541155443934
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,maestro,pop,0.05711850617770016,True,True,real,real,120,120,0.12264964159687744,0.011149929147506985,0.10995551233149614,0.14236596371500168
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,maestro,rap,0.08853722242281345,True,True,real,real,120,120,0.13702208609675887,0.007563227120535298,0.12436808619229223,0.153182514600313
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,midicaps,pop909,0.06211073865203677,True,True,real,real,120,120,0.12197737323178408,0.009765977539523421,0.1093056551971574,0.1447374428321935
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,midicaps,jazz,0.049623833546441315,True,True,real,real,120,120,0.11707910460170275,0.00804515719210073,0.10594278941527471,0.13492439039779539
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,midicaps,rock,0.05967318475301311,True,True,real,real,120,120,0.11847583879259962,0.00897805697202081,0.10571535577205032,0.13863325252462538
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,midicaps,classical,0.08581341878519759,True,True,real,real,120,120,0.1362852329362509,0.01252144083289528,0.11960853436744974,0.16506170084056648
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,midicaps,pop,0.06687983965312008,True,True,real,real,120,120,0.12397427867300075,0.010589813623878406,0.10947934122495949,0.14786745902069154
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,midicaps,rap,0.07176678959882807,True,True,real,real,120,120,0.12808340669373064,0.007413384489625109,0.11649958698007062,0.14521923889417437
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,pop909,jazz,0.05768672052150658,True,True,real,real,120,120,0.11905536654833979,0.006337155029271112,0.10770420329741831,0.13082761016883154
