variant,genre_a,genre_b,pair,dataset_a,dataset_b,fmd
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=off,jazz,rock,jazz vs rock,jazz,rock,0.08588504009677335
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=on,jazz,rock,jazz vs rock,jazz,rock,0.08588504009677335
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=off,jazz,rock,jazz vs rock,jazz,rock,0.07832339837302453
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=on,jazz,rock,jazz vs rock,jazz,rock,0.07832339837302453
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=off,jazz,rock,jazz vs rock,jazz,rock,0.3007687258980804
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=on,jazz,rock,jazz vs rock,jazz,rock,0.3007687258980804
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=off,jazz,rock,jazz vs rock,jazz,rock,0.364148708825289
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=on,jazz,rock,jazz vs rock,jazz,rock,0.364148708825289
tok=Octuple|model=CLaMP-1|vel=off|quant=off,jazz,rock,jazz vs rock,jazz,rock,0.09113890285036978
tok=Octuple|model=CLaMP-1|vel=off|quant=on,jazz,rock,jazz vs rock,jazz,rock,0.09113890285036978
tok=Octuple|model=CLaMP-1|vel=on|quant=off,jazz,rock,jazz vs rock,jazz,rock,0.09298375372649763
tok=Octuple|model=CLaMP-1|vel=on|quant=on,jazz,rock,jazz vs rock,jazz,rock,0.09298375372649763
tok=Octuple|model=CLaMP-2|vel=off|quant=off,jazz,rock,jazz vs rock,jazz,rock,0.40447194541348896
tok=Octuple|model=CLaMP-2|vel=off|quant=on,jazz,rock,jazz vs rock,jazz,rock,0.40447194541348896
tok=Octuple|model=CLaMP-2|vel=on|quant=off,jazz,rock,jazz vs rock,jazz,rock,0.3968353323614093
tok=Octuple|model=CLaMP-2|vel=on|quant=on,jazz,rock,jazz vs rock,jazz,rock,0.3968353323614093
tok=REMI|model=CLaMP-1|vel=off|quant=off,jazz,rock,jazz vs rock,jazz,rock,0.056244860831251825
tok=REMI|model=CLaMP-1|vel=off|quant=on,jazz,rock,jazz vs rock,jazz,rock,0.056244860831251825
tok=REMI|model=CLaMP-1|vel=on|quant=off,jazz,rock,jazz vs rock,jazz,rock,0.05708399825317591
tok=REMI|model=CLaMP-1|vel=on|quant=on,jazz,rock,jazz vs rock,jazz,rock,0.05708399825317591
tok=REMI|model=CLaMP-2|vel=off|quant=off,jazz,rock,jazz vs rock,jazz,rock,0.28651131638397664
tok=REMI|model=CLaMP-2|vel=off|quant=on,jazz,rock,jazz vs rock,jazz,rock,0.28651131638397664
tok=REMI|model=CLaMP-2|vel=on|quant=off,jazz,rock,jazz vs rock,jazz,rock,0.3216541687868139
tok=REMI|model=CLaMP-2|vel=on|quant=on,jazz,rock,jazz vs rock,jazz,rock,0.3216541687868139
tok=TSD|model=CLaMP-1|vel=off|quant=off,jazz,rock,jazz vs rock,jazz,rock,0.05918324494436261
tok=TSD|model=CLaMP-1|vel=off|quant=on,jazz,rock,jazz vs rock,jazz,rock,0.05918324494436261
tok=TSD|model=CLaMP-1|vel=on|quant=off,jazz,rock,jazz vs rock,jazz,rock,0.0655446348109762
tok=TSD|model=CLaMP-1|vel=on|quant=on,jazz,rock,jazz vs rock,jazz,rock,0.0655446348109762
tok=TSD|model=CLaMP-2|vel=off|quant=off,jazz,rock,jazz vs rock,jazz,rock,0.7772519482016416
tok=TSD|model=CLaMP-2|vel=off|quant=on,jazz,rock,jazz vs rock,jazz,rock,0.7772519482016416
tok=TSD|model=CLaMP-2|vel=on|quant=off,jazz,rock,jazz vs rock,jazz,rock,0.7737192157333469
tok=TSD|model=CLaMP-2|vel=on|quant=on,jazz,rock,jazz vs rock,jazz,rock,0.7737192157333469
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=off,jazz,classical,jazz vs classical,jazz,classical,0.06474824922638463
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=on,jazz,classical,jazz vs classical,jazz,classical,0.06474824922638463
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=off,jazz,classical,jazz vs classical,jazz,classical,0.0732742146903598
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=on,jazz,classical,jazz vs classical,jazz,classical,0.0732742146903598
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=off,jazz,classical,jazz vs classical,jazz,classical,0.38321105781619635
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=on,jazz,classical,jazz vs classical,jazz,classical,0.38321105781619635
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=off,jazz,classical,jazz vs classical,jazz,classical,0.36973368115607297
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=on,jazz,classical,jazz vs classical,jazz,classical,0.36973368115607297
tok=Octuple|model=CLaMP-1|vel=off|quant=off,jazz,classical,jazz vs classical,jazz,classical,0.12966068298702965
tok=Octuple|model=CLaMP-1|vel=off|quant=on,jazz,classical,jazz vs classical,jazz,classical,0.12966068298702965
tok=Octuple|model=CLaMP-1|vel=on|quant=off,jazz,classical,jazz vs classical,jazz,classical,0.13032891345606704
tok=Octuple|model=CLaMP-1|vel=on|quant=on,jazz,classical,jazz vs classical,jazz,classical,0.13032891345606704
tok=Octuple|model=CLaMP-2|vel=off|quant=off,jazz,classical,jazz vs classical,jazz,classical,0.5501672188034923
tok=Octuple|model=CLaMP-2|vel=off|quant=on,jazz,classical,jazz vs classical,jazz,classical,0.5501672188034923
tok=Octuple|model=CLaMP-2|vel=on|quant=off,jazz,classical,jazz vs classical,jazz,classical,0.5600711146236583
tok=Octuple|model=CLaMP-2|vel=on|quant=on,jazz,classical,jazz vs classical,jazz,classical,0.5600711146236583
tok=REMI|model=CLaMP-1|vel=off|quant=off,jazz,classical,jazz vs classical,jazz,classical,0.06609049477630007
tok=REMI|model=CLaMP-1|vel=off|quant=on,jazz,classical,jazz vs classical,jazz,classical,0.06609049477630007
tok=REMI|model=CLaMP-1|vel=on|quant=off,jazz,classical,jazz vs classical,jazz,classical,0.07553624176825154
tok=REMI|model=CLaMP-1|vel=on|quant=on,jazz,classical,jazz vs classical,jazz,classical,0.07553624176825154
tok=REMI|model=CLaMP-2|vel=off|quant=off,jazz,classical,jazz vs classical,jazz,classical,0.35953283843668893
tok=REMI|model=CLaMP-2|vel=off|quant=on,jazz,classical,jazz vs classical,jazz,classical,0.35953283843668893
tok=REMI|model=CLaMP-2|vel=on|quant=off,jazz,classical,jazz vs classical,jazz,classical,0.3519419251518881
tok=REMI|model=CLaMP-2|vel=on|quant=on,jazz,classical,jazz vs classical,jazz,classical,0.3519419251518881
tok=TSD|model=CLaMP-1|vel=off|quant=off,jazz,classical,jazz vs classical,jazz,classical,0.0921281969126136
tok=TSD|model=CLaMP-1|vel=off|quant=on,jazz,classical,jazz vs classical,jazz,classical,0.0921281969126136
tok=TSD|model=CLaMP-1|vel=on|quant=off,jazz,classical,jazz vs classical,jazz,classical,0.09434484768464108
tok=TSD|model=CLaMP-1|vel=on|quant=on,jazz,classical,jazz vs classical,jazz,classical,0.09434484768464108
tok=TSD|model=CLaMP-2|vel=off|quant=off,jazz,classical,jazz vs classical,jazz,classical,0.7396289824034792
tok=TSD|model=CLaMP-2|vel=off|quant=on,jazz,classical,jazz vs classical,jazz,classical,0.7396289824034792
tok=TSD|model=CLaMP-2|vel=on|quant=off,jazz,classical,jazz vs classical,jazz,classical,0.8006758411350899
tok=TSD|model=CLaMP-2|vel=on|quant=on,jazz,classical,jazz vs classical,jazz,classical,0.8006758411350899
