dataset_a,dataset_b,pair,configuration,fmd
maestro,pop909,maestro_vs_pop909,MusicBERT-REMI,2.933012760183793
maestro,pop909,maestro_vs_pop909,MusicBERT-TSD,3.234787883935166
maestro,pop909,maestro_vs_pop909,CLaMP2-MTF,0.03505337377436796
maestro,pop909,maestro_vs_pop909,CLaMP1-ABC,0.04822052180495995
maestro,pop909,maestro_vs_pop909,CLaMP2-ABC,0.2265331954245844
maestro,classical,maestro_vs_classical,MusicBERT-REMI,2.419105272900981
maestro,classical,maestro_vs_classical,MusicBERT-TSD,2.353255108084416
maestro,classical,maestro_vs_classical,CLaMP2-MTF,0.033382965129037434
maestro,classical,maestro_vs_classical,CLaMP1-ABC,0.039157823837137895
maestro,classical,maestro_vs_classical,CLaMP2-ABC,0.1363554224064618
maestro,jazz,maestro_vs_jazz,MusicBERT-REMI,4.18651763516238
maestro,jazz,maestro_vs_jazz,MusicBERT-TSD,6.655466844786551
maestro,jazz,maestro_vs_jazz,CLaMP2-MTF,0.0690392101140413
maestro,jazz,maestro_vs_jazz,CLaMP1-ABC,0.12418743552938949
maestro,jazz,maestro_vs_jazz,CLaMP2-ABC,0.3720259184960726
maestro,rock,maestro_vs_rock,MusicBERT-REMI,5.034225375404286
maestro,rock,maestro_vs_rock,MusicBERT-TSD,4.78475036232885
maestro,rock,maestro_vs_rock,CLaMP2-MTF,0.08095963273520212
maestro,rock,maestro_vs_rock,CLaMP1-ABC,0.1505889285206683
maestro,rock,maestro_vs_rock,CLaMP2-ABC,0.5926101293523447
maestro,rap,maestro_vs_rap,MusicBERT-REMI,4.428314470494532
maestro,rap,maestro_vs_rap,MusicBERT-TSD,11.39339538182406
maestro,rap,maestro_vs_rap,CLaMP2-MTF,0.09667094922507746
maestro,rap,maestro_vs_rap,CLaMP1-ABC,0.22023327752272964
maestro,rap,maestro_vs_rap,CLaMP2-ABC,0.7388468605662051
pop909,classical,pop909_vs_classical,MusicBERT-REMI,2.7910434201697365
pop909,classical,pop909_vs_classical,MusicBERT-TSD,2.446730578419407
pop909,classical,pop909_vs_classical,CLaMP2-MTF,0.048308784942822675
pop909,classical,pop909_vs_classical,CLaMP1-ABC,0.04422983305532646
pop909,classical,pop909_vs_classical,CLaMP2-ABC,0.22033886015915394
pop909,jazz,pop909_vs_jazz,MusicBERT-REMI,3.661354699235627
pop909,jazz,pop909_vs_jazz,MusicBERT-TSD,6.629543181377677
pop909,jazz,pop909_vs_jazz,CLaMP2-MTF,0.04983041392481044
pop909,jazz,pop909_vs_jazz,CLaMP1-ABC,0.09185821586917725
pop909,jazz,pop909_vs_jazz,CLaMP2-ABC,0.26125831041316727
pop909,rock,pop909_vs_rock,MusicBERT-REMI,3.4738411426859734
pop909,rock,pop909_vs_rock,MusicBERT-TSD,3.150044484366779
pop909,rock,pop909_vs_rock,CLaMP2-MTF,0.05286374261689253
pop909,rock,pop909_vs_rock,CLaMP1-ABC,0.11584140731288517
pop909,rock,pop909_vs_rock,CLaMP2-ABC,0.4106434996640801
pop909,rap,pop909_vs_rap,MusicBERT-REMI,3.403406037872088
pop909,rap,pop909_vs_rap,MusicBERT-TSD,11.03017700427593
pop909,rap,pop909_vs_rap,CLaMP2-MTF,0.07477244113250889
pop909,rap,pop909_vs_rap,CLaMP1-ABC,0.18267275865464966
pop909,rap,pop909_vs_rap,CLaMP2-ABC,0.5845769198164229
classical,jazz,classical_vs_jazz,MusicBERT-REMI,3.2140639461496896
classical,jazz,classical_vs_jazz,MusicBERT-TSD,6.113436986560289
classical,jazz,classical_vs_jazz,CLaMP2-MTF,0.05466739623741934
classical,jazz,classical_vs_jazz,CLaMP1-ABC,0.10615535169557438
classical,jazz,classical_vs_jazz,CLaMP2-ABC,0.34758469189427066
classical,rock,classical_vs_rock,MusicBERT-REMI,3.874891574509915
classical,rock,classical_vs_rock,MusicBERT-TSD,3.1294737805924484
classical,rock,classical_vs_rock,CLaMP2-MTF,0.06549927151183768
classical,rock,classical_vs_rock,CLaMP1-ABC,0.14199323084253151
classical,rock,classical_vs_rock,CLaMP2-ABC,0.5752035181817904
classical,rap,classical_vs_rap,MusicBERT-REMI,3.9333158619190565
classical,rap,classical_vs_rap,MusicBERT-TSD,11.053667112379832
classical,rap,classical_vs_rap,CLaMP2-MTF,0.08265794097361018
classical,rap,classical_vs_rap,CLaMP1-ABC,0.21078912923242393
classical,rap,classical_vs_rap,CLaMP2-ABC,0.7167552752709678
jazz,rock,jazz_vs_rock,MusicBERT-REMI,3.167942690721504
jazz,rock,jazz_vs_rock,MusicBERT-TSD,5.666361049272242
jazz,rock,jazz_vs_rock,CLaMP2-MTF,0.05293656460779178
jazz,rock,jazz_vs_rock,CLaMP1-ABC,0.06595427744642379
jazz,rock,jazz_vs_rock,CLaMP2-ABC,0.3963225395340645
jazz,rap,jazz_vs_rap,MusicBERT-REMI,3.2732294388151084
jazz,rap,jazz_vs_rap,MusicBERT-TSD,7.3426886853971
jazz,rap,jazz_vs_rap,CLaMP2-MTF,0.04338470432527383
jazz,rap,jazz_vs_rap,CLaMP1-ABC,0.09931613645038057
jazz,rap,jazz_vs_rap,CLaMP2-ABC,0.5359583759960962
rock,rap,rock_vs_rap,MusicBERT-REMI,2.844895043953963
rock,rap,rock_vs_rap,MusicBERT-TSD,7.678632212295327
rock,rap,rock_vs_rap,CLaMP2-MTF,0.0438036909033947
rock,rap,rock_vs_rap,CLaMP1-ABC,0.0693185740231887
rock,rap,rock_vs_rap,CLaMP2-ABC,0.19271154076497132
