dataset,configuration,perturbation,file,cosine_shift,corpus_scale,normalized_shift
maestro,MusicBERT-REMI,__retest__,maestro_0004.mid,5.960464477539063e-08,0.004077732563018799,1.4617104936196337e-05
maestro,MusicBERT-REMI,__retest__,maestro_0006.mid,-1.1920928955078125e-07,0.004077732563018799,-2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_0007.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0009.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0010.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0011.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0016.mid,-1.1920928955078125e-07,0.004077732563018799,-2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_0017.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0018.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0019.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0020.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0024.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0027.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0031.mid,5.960464477539063e-08,0.004077732563018799,1.4617104936196337e-05
maestro,MusicBERT-REMI,__retest__,maestro_0034.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0035.mid,1.1920928955078125e-07,0.004077732563018799,2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_0036.mid,1.1920928955078125e-07,0.004077732563018799,2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_0042.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0044.mid,-1.1920928955078125e-07,0.004077732563018799,-2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_0046.mid,1.1920928955078125e-07,0.004077732563018799,2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_0047.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0048.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0049.mid,5.960464477539063e-08,0.004077732563018799,1.4617104936196337e-05
maestro,MusicBERT-REMI,__retest__,maestro_0050.mid,5.960464477539063e-08,0.004077732563018799,1.4617104936196337e-05
maestro,MusicBERT-REMI,__retest__,maestro_0051.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0053.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0055.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0058.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0060.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0061.mid,0.0,0.004077732563018799,0.0
maestro,MusicBERT-REMI,__retest__,maestro_0062.mid,1.1920928955078125e-07,0.004077732563018799,2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_0066.mid,1.1920928955078125e-07,0.004077732563018799,2.9234209872392673e-05
maestro,MusicBERT-REMI,__retest__,maestro_0067.mid,-1.1920928955078125e-07,0.004077732563018799,-2.9234209872392673e-05
