dataset,configuration,perturbation,file,cosine_shift,corpus_scale,normalized_shift
pop909,MusicBERT-REMI,__retest__,pop909_0004.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0006.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0007.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0009.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0010.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0011.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0016.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0017.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0018.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0019.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0020.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,__retest__,pop909_0024.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,__retest__,pop909_0027.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0031.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0034.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,__retest__,pop909_0035.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0036.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0042.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,__retest__,pop909_0044.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,__retest__,pop909_0046.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,__retest__,pop909_0047.mid,0.0,0.003873884677886963,0.0
