dataset,configuration,perturbation,description,fmd_vs_original,fmd_boot_mean,fmd_ci_lower,fmd_ci_upper,noise_floor_mean,noise_floor_ci_upper,snr,perm_p_value,significant,n_original,n_perturbed,n_bootstrap,n_permutations
pop909,MusicBERT-REMI,no_velocity,Velocity → constant 64 (remove dynamics),8.986540543054634,9.730934260058103,8.879696424661969,11.434781008469505,2.167828291621993,3.9947633600039762,4.145411598227093,0.004975124378109453,True,80,80,100,200
pop909,MusicBERT-REMI,quantized_time,Quantize to 16th notes (remove microtiming),0.0,0.9868095239375159,0.6285305722622557,2.165663100315923,2.167828291621993,3.9947633600039762,0.0,1.0,False,80,80,100,200
pop909,MusicBERT-REMI,constant_tempo,Tempo → constant 120 BPM (remove rubato/tempo changes),0.031898102794636785,0.9214201128350836,0.6288953021468309,1.7666120024004643,2.167828291621993,3.9947633600039762,0.01471431243789621,1.0,False,80,80,100,200
pop909,MusicBERT-REMI,all_combined,All perturbations combined (total de-expression),9.171750865044004,9.92384540485043,9.081260713406213,11.10115473947762,2.167828291621993,3.9947633600039762,4.230847480167167,0.004975124378109453,True,80,80,100,200
pop909,MusicBERT-TSD,no_velocity,Velocity → constant 64 (remove dynamics),3.968912006930184,4.575785770305113,3.995520787733413,5.649397076226466,1.9765055971880818,3.6737419662700317,2.008044911472369,0.004975124378109453,True,80,80,100,200
pop909,MusicBERT-TSD,quantized_time,Quantize to 16th notes (remove microtiming),0.0,0.895493282016898,0.5403239314387291,1.6810338463170695,1.9765055971880818,3.6737419662700317,0.0,1.0,False,80,80,100,200
pop909,MusicBERT-TSD,constant_tempo,Tempo → constant 120 BPM (remove rubato/tempo changes),0.5583095122850654,1.4520270283229808,0.8084641401733437,2.4423443195236647,1.9765055971880818,3.6737419662700317,0.28247302364301746,0.9800995024875622,False,80,80,100,200
pop909,MusicBERT-TSD,all_combined,All perturbations combined (total de-expression),4.799258792895099,5.3659509773718295,4.5348072953606735,6.457418506741655,1.9765055971880818,3.6737419662700317,2.428153403523303,0.004975124378109453,True,80,80,100,200
pop909,CLaMP2-MTF,no_velocity,Velocity → constant 64 (remove dynamics),0.06381018989655673,0.07556237738432964,0.06464205451434632,0.09294642449590797,0.03743971445052379,0.06638469043818168,1.704344993893617,0.004975124378109453,True,80,80,100,200
pop909,CLaMP2-MTF,quantized_time,Quantize to 16th notes (remove microtiming),0.018835801014869147,0.03269922941694305,0.025952326713986805,0.04815993497754209,0.03743971445052379,0.06638469043818168,0.5030968128712753,0.2935323383084577,False,80,80,100,200
pop909,CLaMP2-MTF,constant_tempo,Tempo → constant 120 BPM (remove rubato/tempo changes),0.005903821536436704,0.0196451578378318,0.014025736128958171,0.030406096129157494,0.03743971445052379,0.06638469043818168,0.15768874370659386,1.0,False,80,80,100,200
pop909,CLaMP2-MTF,all_combined,All perturbations combined (total de-expression),0.07755588084240128,0.08869794899140421,0.07754863908449895,0.10955213180477082,0.03743971445052379,0.06638469043818168,2.0714869752783667,0.004975124378109453,True,80,80,100,200
pop909,CLaMP1-ABC,no_velocity,Velocity → constant 64 (remove dynamics),0.013655699928083243,0.024652951468160263,0.02035463471575167,0.03034413332486635,0.027594334579752383,0.03442860302171829,0.49487331860153816,0.5970149253731343,False,80,80,100,200
pop909,CLaMP1-ABC,quantized_time,Quantize to 16th notes (remove microtiming),0.013773408788546826,0.02489092495697014,0.019212778855248514,0.03419978690436734,0.027594334579752383,0.03442860302171829,0.49913900799960587,0.6467661691542289,False,80,80,100,200
pop909,CLaMP1-ABC,constant_tempo,Tempo → constant 120 BPM (remove rubato/tempo changes),0.014445497596129397,0.024533242797779516,0.01957510659566299,0.03098682633078848,0.027594334579752383,0.03442860302171829,0.5234950512895834,0.4228855721393035,False,80,80,100,200
pop909,CLaMP1-ABC,all_combined,All perturbations combined (total de-expression),0.016877431019748923,0.026569765569645618,0.02167789990678102,0.03326231834737124,0.027594334579752383,0.03442860302171829,0.6116266718072233,0.05970149253731343,False,80,80,100,200
pop909,CLaMP2-ABC,no_velocity,Velocity → constant 64 (remove dynamics),0.26369572240685857,0.3678913401020106,0.3084302784485993,0.46039510248344073,0.33744402962319875,0.40515441764038135,0.7814502532503242,0.09950248756218906,False,80,80,100,200
pop909,CLaMP2-ABC,quantized_time,Quantize to 16th notes (remove microtiming),0.22569581347837708,0.3211013803886603,0.2744762955205864,0.39010255114198217,0.33744402962319875,0.40515441764038135,0.6688392552993057,0.2537313432835821,False,80,80,100,200
pop909,CLaMP2-ABC,constant_tempo,Tempo → constant 120 BPM (remove rubato/tempo changes),0.24250929180261105,0.33614603050342007,0.29330271867871505,0.4022585502923987,0.33744402962319875,0.40515441764038135,0.7186652319005467,0.0845771144278607,False,80,80,100,200
pop909,CLaMP2-ABC,all_combined,All perturbations combined (total de-expression),0.23564681779104824,0.33008346035605707,0.2913734300657156,0.38023925821325255,0.33744402962319875,0.40515441764038135,0.698328602981002,0.15920398009950248,False,80,80,100,200
