cov_method,tokenizer,model,remove_velocity,hard_quantization,pair,repeat,fmd,nfmd_trace
empirical,REMI,CLaMP-2,False,False,rock_vs_jazz,0,0.09032946501871875,0.10065891752246192
empirical,REMI,CLaMP-2,False,False,rock_vs_jazz,1,0.12243384650958578,0.14036269498809106
empirical,REMI,CLaMP-2,False,False,rock_vs_jazz,2,0.11902459879682792,0.13155503315877298
empirical,REMI,CLaMP-2,False,False,rock_vs_jazz,3,0.1050412842241264,0.12274110258507662
empirical,REMI,CLaMP-2,False,False,rock_vs_jazz,4,0.11173852686797536,0.12104817701292048
empirical,REMI,CLaMP-2,False,False,rock_vs_electronic,0,0.12084689135947957,0.1234686961854573
empirical,REMI,CLaMP-2,False,False,rock_vs_electronic,1,0.10834401756569179,0.11312492935905508
empirical,REMI,CLaMP-2,False,False,rock_vs_electronic,2,0.11952261257285457,0.12472420053506038
empirical,REMI,CLaMP-2,False,False,rock_vs_electronic,3,0.10380151486885358,0.11181942455454043
empirical,REMI,CLaMP-2,False,False,rock_vs_electronic,4,0.11010023286253567,0.11727884842548185
empirical,REMI,CLaMP-2,False,False,rock_vs_country,0,0.14548026391161817,0.1579241974293449
empirical,REMI,CLaMP-2,False,False,rock_vs_country,1,0.155380832441957,0.1628677930231363
empirical,REMI,CLaMP-2,False,False,rock_vs_country,2,0.14731929106451558,0.15731456774716987
empirical,REMI,CLaMP-2,False,False,rock_vs_country,3,0.14187770907295572,0.15174179398613988
empirical,REMI,CLaMP-2,False,False,rock_vs_country,4,0.12540942528404586,0.1334171919804892
empirical,REMI,CLaMP-2,False,False,jazz_vs_electronic,0,0.1064605406378305,0.11787969604398814
empirical,REMI,CLaMP-2,False,False,jazz_vs_electronic,1,0.10942481305938356,0.1209050996870039
empirical,REMI,CLaMP-2,False,False,jazz_vs_electronic,2,0.10730277375865849,0.11857753388009343
empirical,REMI,CLaMP-2,False,False,jazz_vs_electronic,3,0.11195879882912207,0.12332543074250142
empirical,REMI,CLaMP-2,False,False,jazz_vs_electronic,4,0.11513509362162488,0.1250182448381167
empirical,REMI,CLaMP-2,False,False,jazz_vs_country,0,0.1776697037751218,0.20796415920710662
empirical,REMI,CLaMP-2,False,False,jazz_vs_country,1,0.16830184492373101,0.18843470308084523
empirical,REMI,CLaMP-2,False,False,jazz_vs_country,2,0.14321103929062895,0.16354303950796192
empirical,REMI,CLaMP-2,False,False,jazz_vs_country,3,0.18226965207538415,0.20491674805933943
empirical,REMI,CLaMP-2,False,False,jazz_vs_country,4,0.1459869750369721,0.16392520557395898
empirical,REMI,CLaMP-2,False,False,electronic_vs_country,0,0.15903713885483017,0.16483970926032054
empirical,REMI,CLaMP-2,False,False,electronic_vs_country,1,0.176282626183063,0.18492156948599223
empirical,REMI,CLaMP-2,False,False,electronic_vs_country,2,0.15826500612684824,0.16826138852206296
empirical,REMI,CLaMP-2,False,False,electronic_vs_country,3,0.15755507527506074,0.1692989180682951
empirical,REMI,CLaMP-2,False,False,electronic_vs_country,4,0.16685849777043682,0.17556700012074983
empirical,REMI,CLaMP-2,True,True,rock_vs_jazz,0,0.16112583409629855,0.20724209063737506
empirical,REMI,CLaMP-2,True,True,rock_vs_jazz,1,0.1214554898194039,0.16061414918063677
empirical,REMI,CLaMP-2,True,True,rock_vs_jazz,2,0.16545866309685264,0.20665206023775698
empirical,REMI,CLaMP-2,True,True,rock_vs_jazz,3,0.14553328591822678,0.18365037998153874
empirical,REMI,CLaMP-2,True,True,rock_vs_jazz,4,0.145485672452065,0.1827975945339128
empirical,REMI,CLaMP-2,True,True,rock_vs_electronic,0,0.10589883598616678,0.1181059049124612
empirical,REMI,CLaMP-2,True,True,rock_vs_electronic,1,0.09814801367926229,0.1079707311605979
empirical,REMI,CLaMP-2,True,True,rock_vs_electronic,2,0.10114258479372962,0.11470152857630943
empirical,REMI,CLaMP-2,True,True,rock_vs_electronic,3,0.09458114407119811,0.10267278655470442
empirical,REMI,CLaMP-2,True,True,rock_vs_electronic,4,0.10507101386882045,0.11815632420198487
empirical,REMI,CLaMP-2,True,True,rock_vs_country,0,0.10415298041055066,0.12981079361036305
empirical,REMI,CLaMP-2,True,True,rock_vs_country,1,0.09625998325157326,0.12584938799661285
empirical,REMI,CLaMP-2,True,True,rock_vs_country,2,0.11530872873888987,0.1412292487637913
empirical,REMI,CLaMP-2,True,True,rock_vs_country,3,0.09340944114860417,0.11529191196135868
empirical,REMI,CLaMP-2,True,True,rock_vs_country,4,0.11697427642851665,0.1455656288329994
empirical,REMI,CLaMP-2,True,True,jazz_vs_electronic,0,0.15097001172096447,0.18544901749977705
empirical,REMI,CLaMP-2,True,True,jazz_vs_electronic,1,0.15084328632866095,0.19062999333797953
empirical,REMI,CLaMP-2,True,True,jazz_vs_electronic,2,0.15437715005231356,0.20024341912998736
empirical,REMI,CLaMP-2,True,True,jazz_vs_electronic,3,0.14936370712717773,0.18584945724002933
empirical,REMI,CLaMP-2,True,True,jazz_vs_electronic,4,0.15003987686913145,0.1866098035132312
empirical,REMI,CLaMP-2,True,True,jazz_vs_country,0,0.09461157937632692,0.14273121883880432
empirical,REMI,CLaMP-2,True,True,jazz_vs_country,1,0.10304634614564412,0.14723120698162678
empirical,REMI,CLaMP-2,True,True,jazz_vs_country,2,0.13483836602416432,0.19335617994723733
empirical,REMI,CLaMP-2,True,True,jazz_vs_country,3,0.11290918785125115,0.15698896854021493
empirical,REMI,CLaMP-2,True,True,jazz_vs_country,4,0.12269753188288057,0.17818440023302837
empirical,REMI,CLaMP-2,True,True,electronic_vs_country,0,0.14339911051477838,0.18350802499875707
empirical,REMI,CLaMP-2,True,True,electronic_vs_country,1,0.12954253083126444,0.16385347938277153
empirical,REMI,CLaMP-2,True,True,electronic_vs_country,2,0.14495904534813764,0.1825040610871304
empirical,REMI,CLaMP-2,True,True,electronic_vs_country,3,0.1501900324615134,0.1817339182721421
empirical,REMI,CLaMP-2,True,True,electronic_vs_country,4,0.1363852974702766,0.17127916876433644
empirical,REMI,MusicBERT,False,False,rock_vs_jazz,0,7.099202112482047,0.21091106222669553
empirical,REMI,MusicBERT,False,False,rock_vs_jazz,1,6.733977997193701,0.1940806101597634
empirical,REMI,MusicBERT,False,False,rock_vs_jazz,2,6.649382753140571,0.19318926080035298
empirical,REMI,MusicBERT,False,False,rock_vs_jazz,3,6.58186967509053,0.19154960152367248
empirical,REMI,MusicBERT,False,False,rock_vs_jazz,4,6.947190478724483,0.20190323207159933
empirical,REMI,MusicBERT,False,False,rock_vs_electronic,0,7.149497010538468,0.18812646861987495
empirical,REMI,MusicBERT,False,False,rock_vs_electronic,1,6.995756029232346,0.18471084666813525
empirical,REMI,MusicBERT,False,False,rock_vs_electronic,2,7.064571711730466,0.18417962515421632
empirical,REMI,MusicBERT,False,False,rock_vs_electronic,3,7.55459241745578,0.1970232764401826
empirical,REMI,MusicBERT,False,False,rock_vs_electronic,4,6.918860764062714,0.1845172532819284
empirical,REMI,MusicBERT,False,False,rock_vs_country,0,7.017864587853879,0.22328215957392136
empirical,REMI,MusicBERT,False,False,rock_vs_country,1,6.902463575188424,0.21691587630511058
empirical,REMI,MusicBERT,False,False,rock_vs_country,2,7.159473384653776,0.23092388626803972
empirical,REMI,MusicBERT,False,False,rock_vs_country,3,7.065986544526627,0.22739155958427126
empirical,REMI,MusicBERT,False,False,rock_vs_country,4,6.726939330750021,0.21992679566776882
empirical,REMI,MusicBERT,False,False,jazz_vs_electronic,0,7.183523465681954,0.20052929455493057
empirical,REMI,MusicBERT,False,False,jazz_vs_electronic,1,7.604783041574315,0.21050911590296764
empirical,REMI,MusicBERT,False,False,jazz_vs_electronic,2,7.100313591200319,0.19539058839178503
empirical,REMI,MusicBERT,False,False,jazz_vs_electronic,3,7.483817991397508,0.20951728760659225
empirical,REMI,MusicBERT,False,False,jazz_vs_electronic,4,8.094994747774663,0.23530195603669718
empirical,REMI,MusicBERT,False,False,jazz_vs_country,0,5.8759470571282435,0.20763858347360117
empirical,REMI,MusicBERT,False,False,jazz_vs_country,1,5.946486346044001,0.21296751751617382
empirical,REMI,MusicBERT,False,False,jazz_vs_country,2,6.296694771117508,0.22251231888968678
empirical,REMI,MusicBERT,False,False,jazz_vs_country,3,5.818935945955268,0.20207799042340915
empirical,REMI,MusicBERT,False,False,jazz_vs_country,4,6.0817878902672255,0.22286508431232757
empirical,REMI,MusicBERT,False,False,electronic_vs_country,0,8.619920027783355,0.2709827771694867
empirical,REMI,MusicBERT,False,False,electronic_vs_country,1,8.41992454806839,0.2657717174794163
empirical,REMI,MusicBERT,False,False,electronic_vs_country,2,9.064823185703151,0.279896914830726
empirical,REMI,MusicBERT,False,False,electronic_vs_country,3,8.420992192532669,0.2633915631697563
empirical,REMI,MusicBERT,False,False,electronic_vs_country,4,8.88126535161085,0.276040831823192
empirical,REMI,MusicBERT,True,True,rock_vs_jazz,0,5.460867936854072,0.17859626074825843
empirical,REMI,MusicBERT,True,True,rock_vs_jazz,1,5.6491384909894435,0.1805737051916726
empirical,REMI,MusicBERT,True,True,rock_vs_jazz,2,5.596773706597752,0.1767073393831635
empirical,REMI,MusicBERT,True,True,rock_vs_jazz,3,5.428186547535756,0.17631859351790954
empirical,REMI,MusicBERT,True,True,rock_vs_jazz,4,5.742953456487214,0.18245224740262214
empirical,REMI,MusicBERT,True,True,rock_vs_electronic,0,6.297715485922641,0.18118079818173585
